Season,DayNum,Fav_TeamID,Und_TeamID,Fav_Score,Und_Score,Score_Diff,Upset_Occurred,Fav_Seed,Und_Seed,Seed_Diff,Diff_DefFT,Diff_PFHeight,Diff_Defensive_Discipline_Score,Diff_AvgHeight,Diff_Pre-Tournament.OppARate,Diff_Pre-Tournament.ORPct,Diff_Pre-Tournament.Def3PtFG,Diff_Bench,Diff_Pre-Tournament.OppFG2Pct,Diff_Consistency_Off_Eff,Diff_Score,Diff_SFPts,Diff_SFDR,Diff_Avg_Net_Eff,Diff_L10_Net_Eff,Diff_Pre-Tournament.eFGPct,Diff_Pre-Tournament.FG3Rate,Diff_Consistency_Def_Eff,Diff_Pre-Tournament.AdjTempo,Diff_PGOR,Diff_Pre-Tournament.FTPct,Diff_Pre-Tournament.Off2PtFG,Diff_Pre-Tournament.BlockPct,Diff_CenterOR,Diff_PGPts,Diff_SFOR,Diff_Active Coaching Length Index,Diff_EffectiveHeight,Diff_Pre-Tournament.AdjDE,Diff_Pre-Tournament.FG2Pct,Diff_PGHeight,Diff_Avg Possession Length (Defense),Diff_PGDR,Diff_First_Round_Picks,Diff_SGHeight,Diff_Pre-Tournament.Def2PtFG,Diff_Pre-Tournament.DefFT,Diff_Pre-Tournament.FTRate,Diff_recent_5yr_pase,Diff_CenterDR,Diff_SFHeight,Diff_Avg Possession Length (Offense),Diff_Experience,Diff_PFPts,Diff_CenterHeight,Diff_Pre-Tournament.TOPct,Diff_Pre-Tournament.OppFG3Pct,Diff_Offensive_Analytics_Score,Diff_Pre-Tournament.ARate,Diff_SGOR,Diff_PFDR,Diff_Pre-Tournament.OffFT,Diff_Roster_Talent_Score,Diff_Consistency_Net_Eff,Diff_Continuity_Pct,Diff_CenterPts,Diff_Pre-Tournament.OppFTPct,Diff_SGPts,Diff_PFOR,Diff_L10_Win_Pct,Diff_Pre-Tournament.AdjEM,Diff_tournament_wins,Diff_Pre-Tournament.AdjOE,Diff_SGDR,Diff_Pre-Tournament.OppBlockPct,Diff_Pre-Tournament.Off3PtFG,Diff_Pre-Tournament.OppStlRate,Diff_Pre-Tournament.FG3Pct,Diff_Pre-Tournament.OppFG3Rate,Diff_Has_Coach_PASE_Data,Diff_Seed,Diff_Pre-Tournament.StlRate,Predicted_Score_Diff,Fav_Team,Und_Team,Half time Point Diff,End Game Point Diff
2026,136,1140,1400,71,79,-8,1,6,11,5,-5.979823401,0.76,-0.083240549,0.2199999999999988,8.525586912152846,-1.747580768,6.635981217945989,-2.66,0.2479703883728419,0.875,-8,-4.59,4.780000000000001,3.556000000000001,1.094,0.4325758129840338,3.607808491138705,-1.084,3,-2.97,-0.752179344,0.934387649,4.495063960825023,-11.33,4.109999999999999,7.550000000000001,1,-0.33,-3.7,0.90292229,-0.23,0.6999999999999993,-1.12,0,1.1800000000000002,-0.656157817,-5.979823401,-12.01894325,1.4,-1.61,0.8,-2.1,-1.13187,5.390000000000001,-1.42,-0.007878351,-0.65905961,-8.363898099,2.388368358422774,3.76,-2.79,-5.385513913,0.4026202500000018,-1.089,-14.84,-10.54,-2.745749463,5.68,3.030000000000001,0,4.214000000000002,0,0.5,0.7799999999999994,-2.586312283,4.451126264,-0.002832191,-0.013583614,5.896582852254689,0,-5,0.02011793,-3.7151115,BYU,Texas,-9,-8
2026,136,1314,1433,78,82,-4,1,6,11,5,-4.784617275,2,-2.382019098,1.2900000000000065,-2.242956819,-2.048687772,5.391090769413879,0.4299999999999997,-2.322371497,-1.959,-4,-3.73,-2.44,-2.902,-12.496,0.486629615,-1.499867673,4.545,-0.6,-10.66,-5.521951666,5.872869843769358,-2.665335219,7.920000000000002,-3.34,-0.5,4,1.46,-2.2,3.3394271785496628,1.4,0.1000000000000014,-6.29,2,1.38,-0.734970046,-4.656120723,-6.304090378,2.4,8.8,0.72,0.3000000000000007,-0.32533,9.749999999999998,0.92,-0.84255357,1.3568769649160046,-8.162214762,4.335980473047307,-3.02,2.8500000000000014,-4.010314898,5.460182398000001,5.653000000000002,-24.2,4.129999999999999,-1.129183482,-6.77,6.329999999999998,-0.3,3.871500000000001,0,1.5,-2.86,0.039033549,-1.862554946,-0.007133404,-2.232885976,2.268345923309397,0,-5,-0.028743671,0.4144524,North Carolina,VCU,11,-4
2026,136,1211,1400,68,74,-6,1,3,11,8,-3.447345881,-0.63,6.995410497195096,-0.09,7.050041652181328,-0.0913578,8.160867652846264,11.319999999999997,-3.573005516,2.0760000000000005,-6,2.43,9.36,18.381,21.095,2.041715518780059,-5.190312158,-0.429,1.6999999999999886,-6.53,-5.41019032,11.047766894022196,3.968370778948224,-6.78,-3.61,12.25,40,-0.87,-12,3.402569239949351,0.13,0.6999999999999993,0.92,-1,0.4700000000000001,-4.713521772,-3.447345881,-15.05249843,3.1,-0.48,0.6699999999999999,-2,-0.01984,-2.77,-1.11,-1.327616924,-5.183946488,-20.24281059,13.643854731802378,1.9400000000000013,-10.23,-8.079972676,7.034399199999999,2.715,-8.96,5.419999999999998,-2.700907425,-1.45,-0.89,0.3,9.136300000000002,0,-3,0.4100000000000001,-4.55220224,-2.967794218,-0.016356358,-0.979830939,10.442756377696114,0,-8,0.039689002,0.64189935,Gonzaga,Texas,2,-6
2026,136,1163,1417,73,57,16,0,2,7,5,3.4820966823311004,-0.59,-4.967967602,0.6400000000000006,-14.83600105,4.815634643743849,-6.182993064,-1.44,-6.874362916,-1.04,16,4.41,-2.54,8.540999999999999,9.382,1.4095714563044055,4.433866114472451,-3.268,-0.2,6.77,-5.104922914,1.4424124158835667,5.823396165358791,8.309999999999999,-3.98,-13.27,1,0.42,-8,5.014798372179065,0.6799999999999999,-1.3,4.030000000000001,1,0.64,2.7008963820651744,3.4820966823310897,-3.074546219,1.8000000000000005,8.490000000000002,1.07,0.8000000000000007,-0.11632,-6.96,1.42,3.0079895222007664,-1.51726257,1.3593198951692926,5.546973427059079,1.370000000000001,-11.7,-2.788519457,6.762525900000004,-1.771,6.420000000000002,5.41,-3.373661978,1.129999999999999,-3.17,0.1,6.2230000000000025,0,-1.7,1.7300000000000004,1.5663812694889288,1.346107041549729,0.01513414,-3.003242216,-8.450064284,0,-5,0.004780092,3.7503488,Connecticut,UCLA,5,16
2026,136,1257,1378,83,79,4,0,6,11,5,-2.304974081,2.33,-2.835569179,1.3299999999999983,-2.961620444,-4.134689835,-0.820341752,7,1.889576038597504,4.119999999999999,4,3.389999999999997,1.0700000000000005,2.4609999999999985,-12.12,5.566533726284263,9.006610713358697,3.810000000000001,-1.9,8.65,2.553628773281943,-3.350906554,-1.69957416,-5.95,1.0399999999999991,-7.33,1,1.9,-2.3,7.907655447965986,1.85,0.7999999999999972,3.349999999999998,1,1.02,3.164190065953285,-2.343848314,-7.66617371,-2,-7.35,-0.02,0.1000000000000014,0.92003,2.35,1.4700000000000002,1.558683130887184,-1.250870287,1.0499743482113928,0.607450567,0.3900000000000005,4.870000000000001,-4.540669087,11.095983413000004,10.092,9.660000000000002,-5.41,1.1236649131197112,-1.36,4.259999999999998,-0.4,9.597,0,6.799999999999997,-1.93,-0.887613929,7.891575641389174,0.006972765,2.564573106390789,-0.368479408,1,-5,-0.019740173,4.7511845,Louisville,South Florida,10,4
2026,136,1235,1246,82,63,19,0,2,7,5,-4.923871107,0.3999999999999999,-1.673783819,-0.73,-0.658527051,0.5672517721093868,4.553164317897711,-5.82,0.88558697,-2.363,19,1.34,0.7700000000000031,13.374999999999998,14.457,3.358399387001704,-0.413745366,-1.306,-1.8,7.050000000000001,-5.521266604,0.52735331,-3.666670518,6.210000000000001,-7.48,-3.2,3,-0.47,-7.6,1.145877556328145,-2.41,0.5,-3.54,-1,-1.53,0.370706789,-4.923871107,-3.497394567,1,-7.27,1.2400000000000002,0.1000000000000014,1.0707400000000002,9.150000000000002,-1.34,0.1984867099803615,0.5018820577164398,-3.911139934,1.4613750371920844,3.65,5.830000000000002,-3.601236986,12.470700270000002,-1.283,15.840000000000003,1.099999999999998,-1.536511878,-4.13,-13.72,0.1999999999999999,10.879899999999996,0,3.299999999999997,4.220000000000001,0.856348414,3.073883675853711,0.00404016,4.545880705789699,3.2697070056092628,0,-5,0.027562895,7.0504208,Iowa St,Kentucky,1,19
2026,136,1196,1234,72,73,-1,1,1,9,8,-0.273810684,2.0500000000000003,-5.745415622,0.4100000000000108,-6.503148898,14.999453406198878,-1.58608362,-7.61,-8.883921179,-3.727,-1,0.9199999999999982,-7.29,5.825000000000001,22.185,-3.026581482,-4.457532523,-1.447,7.5,2.09,-6.034513257,4.907118966052785,5.777446597,1.93,-8.08,-12.03,3,2.04,-7.6,-0.811238794,-2.09,-1.5,-4.77,0,-0.58,1.859894303624209,-0.273810684,4.562481379721277,0.8999999999999999,-2.22,0.6699999999999999,-3.2,0.4878599999999999,5.02,2.02,1.3834586312492707,-1.343539964,-0.084279457,-3.925620766,-7,16.849999999999998,1.5487206208725155,11.363117180000003,-5.574,52.63999999999999,-2.06,-0.399129173,4.190000000000001,14.94,0.6000000000000001,11.3979,0,3.799999999999997,-2.6,-1.099535034,-6.455839587,0.010760998,-4.925472198,-5.348528015,0,-8,-0.019675711,9.758743,Florida,Iowa,-2,-1
2026,136,1211,1244,73,64,9,0,3,14,11,-7.495356693,-0.62,-2.031046075,-0.32,3.446507121503373,0.5820979103421848,5.891078618351347,4.8899999999999935,-0.824760619,2.8629999999999995,9,0.2300000000000004,-6.52,23.729,14.746,5.542717468479765,-11.96571968,3.2489999999999988,-2.6,-0.26,-0.119333257,16.733872031271986,-3.348406147,5.449999999999996,-11.55,-7.14,38,0.08,-16.2,7.862858901640067,-1.58,0.5,0.4199999999999999,0,-0.41,1.6042780748663077,-7.495356693,-14.00665294,2.6,7.580000000000002,0.2199999999999999,-0.1,1.49588,5.3100000000000005,0.79,-2.771308272,-3.133903134,-25.97237262,5.352991712148771,3.16,-4.29,-7.55056299,27.2027134,11.873,-3.56,6.809999999999999,-3.434375725,-0.79,-1.23,0.1,27.602657,0,11.400000000000006,2.789999999999999,-7.116216754,-9.183309042,-0.033202025,0.203719021,5.464310618111945,1,-11,0.028448438,11.008977,Gonzaga,Kennesaw,,
2026,136,1403,1103,91,71,20,0,5,12,7,0.3731127770911016,-0.04,-7.836156268,1.1399999999999864,-9.241850586,-0.354326561,-9.630035001,-9.8,1.6400000000000006,2.783999999999999,20,1.1400000000000023,-3.95,-6.261,-11.629,-2.266710022,2.8963722874469653,0.7140000000000022,-4.1,-1.07,-3.802155399,-4.405377369,1.1563636363636365,3.539999999999999,-9.47,-1.76,-6,0.69,-6.2,-5.457626055,1.48,-0.3,4.859999999999999,1,2.03,9.256922223890768,0.3731127770911051,-1.969881839,1.5,-0.61,0.7899999999999998,2,0.4445800000000002,1.8699999999999972,1.41,0.2287438404806234,-3.629526285,0.9264904486586972,-1.840900577,4.07,-0.43,-1.06437353,16.508146390999997,4.736999999999998,-31.18,4.719999999999999,-2.823791805,1.75,-4.8,-0.4,12.3626,0,6.200000000000003,0.1199999999999992,-0.989614383,5.469750899630085,3.806479545979957e-05,0.8434439685265218,-8.209269045,0,-7,-0.016599587,11.509173,Texas Tech,Akron,,
2026,136,1116,1219,94,88,6,0,4,12,8,-2.457261477,2.11,-5.681835068,2.190000000000012,-2.037849934,-0.498843262,-2.560993355,-8.28,2.129109840657577,2.556000000000001,6,-5.49,-5.14,-7.351,-15.763,1.7669005091255698,-9.545971327,-0.136,1.0999999999999943,-0.94,0.4836643375686265,6.725593744814191,1.9531788125086087,11.22,2.9800000000000004,-6.86,1,1.83,-7,-1.492872847,4.51,-0.6,3.59,1,2.26,4.961462686,-2.400469331,-6.52122339,-2.8,-3.33,0.54,-0.1,-0.64495,-1.52,1.54,-0.604924883,-0.236854649,-15.99862306,0.3063126328188303,-1.21,2.27,-3.145554113,19.00334839,1.5229999999999997,14.740000000000002,2.4700000000000024,1.4561158690635807,1.5500000000000007,-2.2,-0.2,17.01725,0,10.700000000000005,2.640000000000001,-3.762727967,-3.580039632,-0.000333664,4.475591975591975,-3.233956517,1,-8,-0.045058957,12.093833,Arkansas,High Point,,
2026,136,1222,1401,88,57,31,0,2,10,8,1.8708822706653017,-0.17,1.3257946691245053,0.6400000000000006,-2.743110141,4.539360081259527,1.9552815926769649,-12.81,-7.58057258,-2.445,31,2.530000000000001,3.77,11.324,18.534,-2.092625682,-5.514075076,3.622,-7.2,-3.62,3.463478380485114,6.430060679682526,3.631678042470945,0.05,8.059999999999999,3.879999999999999,11,0.12,-9.6,-2.212208022,2.54,0.8000000000000007,0.1300000000000007,2,1.17,-3.826163863,1.8708822706652448,-10.46740809,2.7,4.700000000000003,-0.75,2.799999999999999,-0.80301,-7.19,0.41,-1.98605698,0.4189066302923301,-15.94921486,-8.450612749,-10.77,-8.8,-3.648563358,17.56342799,-2.189,53.260000000000005,-3.18,-4.981926764,-0.16,10.500000000000004,0.1999999999999999,14.736400000000003,0,5.200000000000003,0.25,-5.09616703,-2.781497321,-0.01989797,-1.262562077,-0.568143638,0,-8,0.009525089,12.222991,Houston,Texas A&M,,
2026,136,1458,1219,82,83,-1,1,5,12,7,-2.611523216,2.42,-3.869138854,2.5200000000000102,-1.289682679,-3.378638905,0.5442007788619065,-4.54,0.7128329418624872,3.649000000000001,-1,-14.24,-12.01,-10.379,-12.171,-0.254537954,9.701728274914004,-1.03,-1.2,6.890000000000001,4.369954369954371,-7.352570951,-2.504971667,-4.3,6.780000000000001,-14.19,10,2.8200000000000003,-6.6,-2.254092673,4.57,-0.2,7.24,0,2.0700000000000003,2.067322436785787,-2.611523216,-11.00102576,-2.4,4.459999999999997,0.35,1.299999999999999,0.1229,-4.95,3.22,-0.463626906,1.3294104110849965,-1.299297486,4.666359362469216,7.890000000000001,-6.48,-3.827178777,18.36057573,2.014,4.380000000000003,4.530000000000001,2.3602484472049667,7.859999999999999,3.6999999999999993,-0.3,14.983050000000002,0,8.299999999999997,6.790000000000001,2.091070414,11.179749727619882,-0.003226368,1.7030486344565787,-1.257615639,1,-7,-0.062496437,12.703722,Wisconsin,High Point,,
2026,136,1435,1270,78,68,10,0,5,12,7,0.5339707692972979,1.06,-8.450896177,0.09,-10.59739345,-4.650400003,-7.004945566,-6.84,0.000564005,-0.339,10,1.0700000000000005,2.790000000000001,0.3120000000000011,-16.48,4.318448960743872,8.476772192749095,3.842000000000001,2.5999999999999943,0.8799999999999999,5.234266912307618,-7.140749079,-3.202797466,-3.79,-0.77,-1.99,1,0.05,-2.5,3.935941999059324,-1.55,-1.8,5.130000000000001,0,-0.37,6.861535809341056,0.1434097570578494,-0.170463192,-0.1,3.2600000000000016,2.29,-0.1,0.56705,3.890000000000001,-0.97,-1.035674467,-0.354252076,9.047825743,7.049226168042502,-7.22,-2.63,-0.296587485,18.27868567,1.3789999999999978,20.54,5.899999999999999,2.4110304914917577,-10.09,12.14,-0.4,15.6292,0,12.5,-8.53,0.4818116116598414,7.437336563737571,0.004758099,3.9136156606314856,-8.880571792,1,-7,-0.03816603,13.529233,Vanderbilt,McNeese St,,
2026,136,1104,1220,87,69,18,0,4,13,9,-2.852164493,0.94,-8.423860849,0.7900000000000063,-8.532589099,-4.258675365,-4.489790123,7.52,4.442768013701418,-1.07,18,-0.65,9.6,-0.058,-10.843,3.912087733483944,10.504999817154186,-0.735,8.399999999999991,-4.04,0.5833305315536421,-5.128454318,0.911389308,-15.32,-0.41,13.19,2,0.53,-1.8,8.730750770547452,0.75,-0.6,1.4600000000000009,1,0.87,7.341954615147237,-2.852164493,4.697004172947764,0.4,-14.64,1.3,-3.8,0.4996900000000002,-1.41,0.1099999999999998,-2.123299943,1.239154808106946,15.20200399,5.009017965827326,2.8599999999999994,3.9200000000000017,1.1056818311743193,22.1421361,3.738999999999997,3.299999999999997,2.02,-1.946996767,0.4600000000000008,3.3599999999999994,-0.1,16.230719999999998,0,14.400000000000006,-0.32,1.437487832193174,4.0227724866514905,0.007688271,-1.039616668,-5.571696356,1,-9,0.012008807,14.81649,Alabama,Hofstra,,
2026,136,1345,1274,79,69,10,0,2,7,5,-0.904662603,-0.61,3.388435039034704,-0.64,3.343861613092386,0.7522885250119629,2.271747131638982,2.3800000000000026,2.3000507435887414,-1.194,10,1.5700000000000005,-2.79,2.603999999999999,4.985999999999999,1.996747790552881,9.280886922249223,-0.328,-3.2,-1.56,5.776970626720214,-6.859650685,-1.131809725,8.330000000000005,-3.71,-16.89,20,0.7899999999999998,-0.3,0.865235486,-2.76,0.5,0.4900000000000002,0,-0.92,-1.117847955,-1.153899176,-8.862814793,-2.6,-5.61,-1.15,1.6999999999999993,0.7245000000000001,-3.51,2.21,-2.485071311,-1.248200196,0.5964343195192896,13.126088470916066,-4.49,10.14,-3.179671099,15.480585359999996,-0.442,71.56,6.489999999999998,2.316251953275554,-0.85,14.599999999999998,-0.1,9.8111,0,10.199999999999989,-2.24,-3.593281236,10.03932178334665,-0.018645041,3.2029871645274213,4.067143028771731,1,-5,-0.027381301,14.853162,Purdue,Miami FL,,
2026,136,1277,1295,92,67,25,0,3,14,11,1.8215091368003016,3.63,3.4122544378529014,2.569999999999993,1.3375421603390123,5.129989090385127,2.000201554719822,2.009999999999998,-4.646690584,-2.326,25,0.8500000000000014,-4.4,3.837999999999999,-13.606,0.2423409720529861,-6.336915996,1.0990000000000002,-0.3,-5.98,4.678344849880801,3.1078497215252696,4.3329574094186665,-5.32,1.6099999999999994,-2.66,18,2.48,-11.9,0.2773608351429359,1.6,0.6999999999999993,-4.39,0,2.49,-3.821710692,1.8215091368002696,5.523127645330355,2.3,-4.23,3.81,0,0.05736,0.6699999999999982,1.32,1.1128085753394252,-0.566801619,-0.813788351,13.964322812936883,0.04,14.61,3.412878160157618,26.498389,1.6550000000000011,30.499999999999996,-5.13,0.284280472,2,13.910000000000004,-0.2,23.17245,0,11.299999999999995,-1.62,-0.845000892,-6.520727882,0.004691848,0.174367916,1.5907453010525856,0,-11,-0.035016056,17.290571,Michigan St,N Dakota St,,
