Feature,Importance_Elite8,Importance_Wins
RankAdjEM,0.05549336,0.08271093
AdjEM,0.034782052,0.034162253
Pre-Tournament.RankAdjEM,0.019008186,0.010490641
Net Rating,0.017317722,0.0458188
Net Rating Rank,0.017240522,0.038677692
Pre-Tournament.RankDE_Fallback,0.013611219,0.0
Tempo,0.012760733,0.0061597046
RankSFOR,0.012031182,0.004644542
Pre-Tournament.RankOE_Fallback,0.011450997,0.0034810184
recent_5yr_pase,0.011308531,0.0058288043
Raw Defensive Efficiency,0.011290335,0.0022777757
RankOppBlockPct,0.010621141,0.003067415
SFOR,0.010599054,0.0024334642
Adjusted Tempo Rank,0.010581579,0.0033872002
RankSGDR,0.010474392,0.0036448003
Roster_Talent_Score,0.0104252165,0.031329617
RankAdjDE,0.010227729,0.004656849
AdjDE,0.010100588,0.006130556
Adjusted Defensive Efficiency Rank,0.009927341,0.005327608
Raw Tempo,0.009498971,0.0019351024
Avg_Net_Eff,0.009450219,0.0069808722
Games,0.009352782,0.005813616
RankSFDR,0.009244652,0.004327406
L10_Net_Eff,0.009221026,0.0057836813
DefFT,0.008978664,0.0023508235
RankOppFG3Pct,0.008974901,0.004106565
Defensive_Discipline_Score,0.008965745,0.0031792102
SFDR,0.008623617,0.0039625177
Consistency_Def_Eff,0.008384323,0.004804602
BlockPct,0.008376668,0.005222936
Pre-Tournament.RankDE,0.008313135,0.0046757506
RankBlockPct,0.0082863625,0.005299454
RankFG3Rate,0.008134549,0.0028714566
RankSFHeight,0.007989267,0.0033925534
Pre-Tournament.RankTempo,0.007902366,0.0038543858
EffectiveHeight,0.0077568707,0.003867582
Adjusted Offensive Efficiency,0.0076924493,0.0023499571
Raw Tempo Rank,0.007610142,0.0057702735
Pre-Tournament.RankAdjDE_Fallback,0.0075876834,0.011059357
RankStlRate,0.007559283,0.004422349
RankOppARate,0.007408494,0.004459152
RankDef2PtFG,0.0073790103,0.0036226313
Off2PtFG,0.007117266,0.0032366882
AdjOE,0.0069788643,0.0047662975
Pre-Tournament.DE,0.0069535626,0.009024859
RankARate,0.0069428696,0.0048961835
AdjTempo,0.006890381,0.0040929276
Adjusted Defensive Efficiency,0.0067721936,0.0045581805
RankAvgHeight,0.0067512062,0.006221197
Pre-Tournament.OE,0.0066417563,0.0050425446
OppARate,0.0065710703,0.0063070348
Pre-Tournament.AdjEM,0.006570705,0.015041762
eFGPct,0.0064867213,0.0027934276
Avg Possession Length (Offense) Rank,0.006464314,0.003691247
RankDE,0.0063985656,0.0023696558
RankSFPts,0.0063165827,0.0040064463
PFPts,0.00621005,0.0046950188
Pre-Tournament.AdjOE,0.0062003518,0.0049351356
Pre-Tournament.Tempo,0.0061204443,0.002908188
Def3PtFG,0.0061147246,0.0029244765
Pre-Tournament.AdjTempo,0.006101441,0.003364568
Pre-Tournament.AdjEM_Fallback,0.006070143,0.019284273
OE,0.005967321,0.0043904046
career_pase,0.005942877,0.00884914
StlRate,0.0059165973,0.004554399
RankPFOR,0.00587208,0.004741216
RankCenterOR,0.0058580036,0.0030175515
AvgHeight,0.005796084,0.0049799904
RankFTRate,0.0057603735,0.0044634906
RankOppFTPct,0.0057057277,0.0029546493
OppFG3Pct,0.005621152,0.0030463208
ORPct,0.005581907,0.0038156062
RankTempo,0.005554722,0.001457091
Bench,0.005535236,0.008365669
Adjusted Tempo,0.005506444,0.0036047292
RankTOPct,0.005491677,0.0028414973
Adjusted Offensive Efficiency Rank,0.005424847,0.002665426
Consistency_Net_Eff,0.0054212,0.005269359
Consistency_Off_Eff,0.0053475956,0.0063636797
BenchRank,0.0053466195,0.009418209
Def2PtFG,0.005245999,0.0025364368
Continuity_Pct,0.005239123,0.004584954
FTPct,0.005236187,0.0043696985
SGDR,0.005226695,0.0022104809
FG2Pct,0.0051215244,0.0044414266
RankOff2PtFG,0.0048406,0.0039437646
Seed_Numeric,0.0047786343,0.0058400608
RankCenterDR,0.004731974,0.005482171
Pre-Tournament.OE_Fallback,0.004683223,0.001984523
L10_Win_Pct,0.0046633426,0.0040687476
Pre-Tournament.RankTempo_Fallback,0.004602754,0.002167327
RankOff3PtFG,0.0045922003,0.0037742078
RankAdjOE,0.0045805927,0.004882452
RankPFPts,0.0045385575,0.00655369
RankFG2Pct,0.0044961087,0.0045369957
Avg Possession Length (Defense),0.004493293,0.0024542443
ARate,0.0044758827,0.008701057
OppFTPct,0.004426021,0.0032240706
Pre-Tournament.DE_Fallback,0.004358258,0.008962797
TOPct,0.004352302,0.0022166194
PGOR,0.0043149767,0.0033271136
Off3PtFG,0.004240897,0.0030286068
OppBlockPct,0.004185206,0.004305594
RankExperience,0.0041754055,0.0028992554
RankOppFG2Pct,0.004075508,0.0047156923
CenterDR,0.0040534507,0.0068133785
RankFTPct,0.003922741,0.003940544
Avg Possession Length (Defense) Rank,0.003859619,0.004141557
Avg Possession Length (Offense),0.0037756134,0.0036045671
Pre-Tournament.RankAdjOE,0.0037550856,0.002285568
OppFG2Pct,0.0037480134,0.0061419085
FG3Pct,0.0036495973,0.0040490604
CenterPts,0.0036495528,0.003351403
SFHeight,0.0035212818,0.004381674
RankFG3Pct,0.0034973547,0.0057556555
RankPGHeight,0.0034893975,0.006411265
PGPts,0.003460964,0.0040687197
RankSGHeight,0.0032990365,0.004627438
FG3Rate,0.003284365,0.0026296915
RankPGOR,0.0032682258,0.0028237177
CenterOR,0.0032513656,0.00361077
Raw Offensive Efficiency,0.0032508434,0.003442798
PGHeight,0.0032294572,0.006381156
PFHeight,0.0032121036,0.003644221
RankDef3PtFG,0.0031901803,0.003435174
RankDefFT,0.003187219,0.0033567424
Coach_Exp_Numeric,0.0031369925,0.009397001
RankPGDR,0.0031057873,0.0025782336
PFDR,0.0030600938,0.002649376
RankPFDR,0.0030509534,0.0027099266
CenterHeight,0.0029854414,0.0039638104
RankOppStlRate,0.0028328164,0.0036824415
RankOppFG3Rate,0.0028055096,0.004447161
RankPFHeight,0.0027614129,0.0052878344
PGDR,0.0027338837,0.0030393004
Pre-Tournament.AdjDE,0.002605421,0.007887813
Pre-Tournament.RankAdjTempo,0.0025619355,0.0031993773
Offensive_Analytics_Score,0.0025059702,0.0037039532
RankPGPts,0.0024582634,0.006244009
Pre-Tournament.RankOE,0.0024552387,0.0034459103
Raw Defensive Efficiency Rank,0.0022980992,0.002716769
OppStlRate,0.0022885245,0.0055336882
OffFT,0.00222898,0.0029924037
RankCenterPts,0.0022123517,0.003550555
FTRate,0.0021756096,0.0039526504
SFPts,0.0021539426,0.003179224
RankOffFT,0.0021322262,0.0036597196
RankCenterHeight,0.0021201507,0.003799135
RankORPct,0.0020729122,0.003213142
RankEffectiveHeight,0.0020585877,0.0075222873
RankSGPts,0.001935568,0.006109441
RankOE,0.0019153329,0.0036354573
SGPts,0.0018665693,0.0027673065
RankeFGPct,0.0017813556,0.0035186931
RankSGOR,0.0017571524,0.003719886
PFOR,0.0017127298,0.0031111126
Pre-Tournament.RankAdjTempo_Fallback,0.0016794027,0.0
Pre-Tournament.AdjDE_Fallback,0.0015354748,0.007935627
Pre-Tournament.RankAdjDE,0.0015353833,0.005879974
SGOR,0.0014091538,0.0027020753
Experience,0.0014046312,0.0046583638
Pre-Tournament.Tempo_Fallback,0.0012712152,0.0012217407
DE,0.001160578,0.003979327
SGHeight,0.0011603351,0.003950973
Raw Offensive Efficiency Rank,0.00112939,0.0023838114
Pre-Tournament.RankAdjOE_Fallback,0.0010623235,0.0
OppFG3Rate,0.001062261,0.0037498407
Active Coaching Length Index,0.00026522495,0.0036860057
RankAdjTempo,5.732663e-05,0.007995039
Pre-Tournament.RankAdjEM_Fallback,0.0,0.012053551
Pre-Tournament.AdjOE_Fallback,0.0,0.005394251
Pre-Tournament.AdjTempo_Fallback,0.0,0.0119982455
NBA_Prospects,0.0,0.0057840548
